year,avg_temp,
1796,25.03,
1797,26.71,
1798,24.29,
1799,25.28,
1800,25.21,
1801,24.22,
1802,25.63,
1803,25.38,
1804,25.68,
1805,25.3,
1806,25.22,12 Years Moving Average
1807,24.97,25.24333333
1813,24.56,25.20416667
1814,23.73,24.95583333
1815,24.09,24.93916667
1816,23.7,24.8075
1817,23.86,24.695
1818,24.37,24.7075
1819,23.9,24.56333333
1820,24.12,24.45833333
1821,24.83,24.3875
1822,24.93,24.35666667
1823,24.63,24.3075
1824,25.3,24.335
1825,25.11,24.38083333
1826,25.12,24.49666667
1827,25.36,24.6025
1828,24.9,24.7025
1829,24.71,24.77333333
1830,25.07,24.83166667
1831,24.43,24.87583333
1832,24.62,24.9175
1833,24.85,24.91916667
1834,24.82,24.91
1835,23.9,24.84916667
1836,24.54,24.78583333
1837,24.42,24.72833333
1838,24.38,24.66666667
1839,24.45,24.59083333
1840,24.72,24.57583333
1841,24.49,24.5575
1842,24.78,24.53333333
1843,24.75,24.56
1844,24.36,24.53833333
1845,24.6,24.5175
1846,25.16,24.54583333
1847,24.66,24.60916667
1848,24.45,24.60166667
1849,24.49,24.6075
1850,24.78,24.64083333
1851,24.76,24.66666667
1852,24.65,24.66083333
1853,24.88,24.69333333
1854,25.02,24.71333333
1855,25.24,24.75416667
1856,23.86,24.7125
1857,24.3,24.6875
1870,24.89,24.665
1871,24.88,24.68333333
1872,24.94,24.72416667
1873,25.06,24.77166667
1874,24.25,24.7275
1875,25.38,24.77916667
1876,24.93,24.8025
1877,25.08,24.81916667
1878,25.18,24.8325
1879,24.86,24.80083333
1880,25.45,24.93333333
1881,25.09,24.99916667
1882,24.89,24.99916667
1883,24.82,24.99416667
1884,24.67,24.97166667
1885,24.38,24.915
1886,24.89,24.96833333
1887,24.9,24.92833333
1888,24.88,24.92416667
1889,25.21,24.935
1890,25.06,24.925
1891,24.68,24.91
1892,25.49,24.91333333
1893,23.84,24.80916667
1894,24.74,24.79666667
1895,25.15,24.82416667
1896,25.83,24.92083333
1897,25.39,25.005
1898,25.55,25.06
1899,25.86,25.14
1900,25.56,25.19666667
1901,25.49,25.22
1902,25.66,25.27
1903,25.14,25.30833333
1904,25.07,25.27333333
1905,24.75,25.34916667
1906,25.17,25.385
1907,25.02,25.37416667
1908,25.14,25.31666667
1909,24.75,25.26333333
1910,24.81,25.20166667
1911,25.36,25.16
1912,25.25,25.13416667
1913,24.94,25.08833333
1914,25.12,25.04333333
1915,25.73,25.0925
1916,25.07,25.0925
1917,23.84,25.01666667
1918,25.28,25.02583333
1919,24.84,25.01083333
1920,24.99,24.99833333
1921,26.04,25.10583333
1922,25.18,25.13666667
1923,25.26,25.12833333
1924,24.98,25.10583333
1925,24.85,25.09833333
1926,24.78,25.07
1927,24.73,24.98666667
1928,25.65,25.035
1929,25.39,25.16416667
1930,25.1,25.14916667
1931,25.58,25.21083333
1932,25.63,25.26416667
1933,24.52,25.1375
1934,24.96,25.11916667
1935,24.81,25.08166667
1936,24.76,25.06333333
1937,24.81,25.06
1938,25.36,25.10833333
1939,25.24,25.15083333
1940,25.07,25.1025
1941,26.3,25.17833333
1942,25.4,25.20333333
1943,25.25,25.17583333
1944,24.98,25.12166667
1945,24.78,25.14333333
1946,25.47,25.18583333
1947,25.72,25.26166667
1948,25.45,25.31916667
1949,25.6,25.385
1950,24.66,25.32666667
1951,25.58,25.355
1952,25.84,25.41916667
1953,26.14,25.40583333
1954,25.68,25.42916667
1955,25.15,25.42083333
1956,25.3,25.4475
1957,24.91,25.45833333
1958,25.93,25.49666667
1959,25.56,25.48333333
1960,25.53,25.49
1961,24.8,25.42333333
1962,25.18,25.46666667
1963,25.46,25.45666667
1964,25.05,25.39083333
1965,25.26,25.3175
1966,25.52,25.30416667
1967,24.98,25.29
1968,25.02,25.26666667
1969,25.8,25.34083333
1970,25.39,25.29583333
1971,24.81,25.23333333
1972,25.42,25.22416667
1973,25.56,25.2875
1974,25.52,25.31583333
1975,25.02,25.27916667
1976,25.33,25.3025
1977,25.41,25.315
1978,25.21,25.28916667
1979,25.81,25.35833333
1980,26.02,25.44166667
1981,25.79,25.44083333
1982,25.18,25.42333333
1983,24.75,25.41833333
1984,25.56,25.43
1985,25.86,25.455
1986,25.31,25.4375
1987,26.54,25.56416667
1988,26.11,25.62916667
1989,25.43,25.63083333
1990,25.54,25.65833333
1991,25.74,25.6525
1992,25.52,25.61083333
1993,25.92,25.62166667
1994,25.87,25.67916667
1995,25.92,25.77666667
1996,25.55,25.77583333
1997,24.71,25.68
1998,25.77,25.71833333
1999,26.36,25.70333333
2000,26.05,25.69833333
2001,25.86,25.73416667
2002,26.63,25.825
2003,25.72,25.82333333
2004,26.24,25.88333333
2005,25.72,25.86666667
2006,26.37,25.90833333
2007,26.15,25.9275
2008,25.68,25.93833333
2009,26.55,26.09166667
2010,26.52,26.15416667
2011,25.63,26.09333333
2012,25.89,26.08
2013,26.71,26.15083333
